"Kuukausi","Liikkeet, lkm Rovaniemi","Huoneet, lkm Rovaniemi","Huonek�ytt�aste, % Rovaniemi","Huoneen keskihinta Rovaniemi","Vuoteet, lkm Rovaniemi","Vuodek�ytt�aste, % Rovaniemi","Y�pymisen keskihinta Rovaniemi","RevPar, EUR Rovaniemi","Y�pymiset, lkm Rovaniemi","Kotimaiset y�pymiset, lkm Rovaniemi","Ulkomaiset y�pymiset Rovaniemi"
"2022M08",19,1561,40.5,97.76,3760,30.4,53.25,39.56,35437,22599,12838
"2022M09",19,1561,40.5,103.46,3760,27.7,61.78,41.91,31276,24491,6785
"2022M10",20,1583,39.4,125.82,3805,30.8,64.85,49.54,36253,21546,14707
"2022M11",20,1584,63.7,182.87,3807,58.5,83.81,116.58,66818,25412,41406
"2022M12",22,1806,94.8,300.07,4317,104.3,121.41,284.41,139532,22376,117156
"2023M01",23,1814,83.3,240.37,4340,72.8,118.22,200.21,98005,22882,75123
"2023M02",23,1816,90.7,216.23,4347,79.6,104.37,196.14,96913,16839,80074
"2023M03",23,1818,76.1,195.26,4354,62.0,101.10,148.68,82756,22117,60639
"2023M04",21,1680,35.2,124.36,4014,27.9,64.46,43.78,33261,20216,13045
"2023M05",19,1597,37.1,104.21,3836,23.2,68.58,38.68,27616,15360,12256
"2023M06",19,1599,44.5,104.55,3839,32.3,59.43,46.55,37255,20517,16738
"2023M07",20,1658,43.3,94.25,3958,37.5,46.20,40.84,46046,26904,19142
"2023M08",20,1660,40.0,109.44,3972,31.7,57.23,43.81,38926,22133,16793
"2023M09",20,1661,39.5,116.43,3967,29.2,64.66,45.93,34783,25099,9684
"2023M10",21,1685,38.7,130.61,4030,32.1,66.76,50.52,40017,20545,19472
"2023M11",21,1687,72.3,201.20,4044,66.9,93.91,145.50,81116,22520,58596
"2023M12",23,1825,95.0,345.70,4373,103.2,142.39,328.43,139855,12378,127477
"2024M01",23,1821,86.3,274.80,4384,77.6,131.64,237.07,105360,14806,90554
"2024M02",23,1821,92.2,256.81,4383,77.0,129.16,236.67,97803,16601,81202
"2024M03",23,1821,79.3,239.70,4388,64.6,122.12,190.11,86269,16029,70240
"2024M04",21,1662,33.4,132.59,3963,24.9,74.67,44.32,28586,16417,12169
"2024M05",17,1543,28.7,114.87,3623,18.5,74.64,33.01,20776,14683,6093
"2024M06",19,1631,41.4,103.21,3840,29.5,60.35,42.70,31717,19911,11806
"2024M07",19,1634,41.0,93.72,3847,36.1,45.61,38.47,41681,25284,16397
"2024M08",19,1629,41.1,105.58,3848,33.7,54.05,43.37,38858,22230,16628
"2024M09",20,1661,48.5,116.84,4004,32.3,69.75,56.70,38767,22507,16260
"2024M10",21,1690,48.4,142.82,4043,40.0,71.36,69.09,49100,19995,29105
"2024M11",21,1694,82.4,224.46,4056,74.4,106.41,184.96,90557,19425,71132
"2024M12",24,1840,97.0,.,4437,102.5,.,.,140970,10362,130608
"2025M01*",25,1890,85.6,310.71,4555,76.2,150.00,265.85,107532,12237,95295
"2025M02*",25,1890,93.5,279.87,4531,81.9,135.81,261.69,103966,11597,92369
"2025M03*",25,1888,79.2,263.68,4542,65.0,134.09,208.81,90518,14037,76481
"2025M04*",20,1484,39.0,129.46,3578,29.6,71.47,50.49,30553,14553,16000
"2025M05*",15,1244,35.3,105.42,2861,23.7,68.08,37.20,20978,14527,6451
"2025M06*",19,1403,44.8,106.45,3478,31.3,61.00,47.67,32645,18452,14193
"2025M07*",20,1411,50.3,92.61,3512,42.6,44.79,46.58,46282,27064,19218
"2025M08*",21,1496,48.3,102.38,3693,37.3,53.45,49.46,42798,22850,19948
"2025M09*",22,1553,52.7,113.52,3972,34.5,66.96,59.85,39127,22802,16325
